"wid","agegroup","gender","hand","thirdgrade_usa","thirdgrade_usa_region","s1_dae","s1_time","s2_dae","s2_time","s3_dae","s3_time"
"0285","41-60","Female","Right","TRUE","Midwest","0","Early Evening","30","Late Afternoon","55","Late Morning"
"0205","18-24","Male","Right","TRUE","Midwest","0","Early Evening","404","Early Afternoon","531","Early Afternoon"
"0005","18-24","male","right","TRUE","midwest","0","latemorning","21","earlyafternoon","42","latemorning"
"0308","18-24","Female","Right","TRUE","Midwest","0","Late Evening","70","Early Evening","95","Late Afternoon"
"0426","18-24","Female","Right","TRUE","Midwest","0","Early Afternoon","24","Early Afternoon","51","Late Evening"
"0133","25-40","female","right","TRUE","west","0","latemorning","31","earlyafternoon","77","earlymorning"
"0148","25-40","male","right","FALSE","NA","0","earlyafternoon","23","earlyafternoon","51","earlyafternoon"
"0062","41-60","female","right","TRUE","midwest","0","lateevening","54","latemorning","98","earlyevening"
"0441","18-24","Male","Right","TRUE","Midwest","0","Early Afternoon","27","Late Afternoon","49","Early Afternoon"
"0087","41-60","female","right","TRUE","midwest","0","earlyafternoon","27","latemorning","50","earlymorning"
"0227","41-60","Female","Right","TRUE","South","0","Early Evening","27","Late Morning","63","Early Evening"
"0076","41-60","female","right","TRUE","south","0","lateevening","32","lateevening","67","lateevening"
"0501","18-24","Female","Right","TRUE","Midwest","0","Late Evening","21","Late Evening","42","Late Evening"
"0261","25-40","Male","Right","TRUE","Midwest","0","Early Morning","27","Early Evening","62","Early Afternoon"
"0240","25-40","Female","Right","TRUE","Midwest","0","Late Evening","34","Early Evening","64","Early Evening"
"0010","18-24","female","right","TRUE","midwest","0","earlyafternoon","21","earlyafternoon","58","latemorning"
"0175","18-24","Female","Left","TRUE","Midwest","0","Late Evening","78","Late Morning","99","Late Morning"
"0487","25-40","Male","Right","FALSE","NA","0","Late Morning","42","Early Afternoon","91","Early Evening"
"0264","41-60","Female","Right","TRUE","South","0","Early Morning","28","Early Afternoon","66","Late Afternoon"
"0001","25-40","female","right","TRUE","midwest","0","earlyafternoon","26","latemorning","47","earlyafternoon"
"0022","25-40","female","right","FALSE","NA","0","earlymorning","34","lateevening","71","earlyafternoon"
"0203","25-40","Female","Right","FALSE","NA","0","Early Afternoon","60","Late Morning","129","Late Afternoon"
"0025","41-60","male","left","TRUE","midwest","0","earlyevening","35","latemorning","82","lateevening"
"0038","41-60","female","left","TRUE","midwest","0","lateafternoon","23","lateevening","54","earlymorning"
"0224","41-60","Female","Right","TRUE","Midwest","0","Early Evening","31","Early Evening","54","Late Morning"
"0384","18-24","Female","Right","TRUE","Midwest","0","Early Evening","27","Early Afternoon","62","Late Morning"
"0016","18-24","female","right","TRUE","midwest","0","latemorning","21","earlymorning","42","earlymorning"
"0262","25-40","Female","Right","FALSE","NA","0","Late Afternoon","33","Late Afternoon","104","Late Afternoon"
"0218","18-24","Male","Left","TRUE","South","0","Early Evening","42","Late Afternoon","82","Late Afternoon"
"0035","41-60","female","right","FALSE","NA","0","lateevening","24","latemorning","64","earlyevening"
"0122","18-24","female","right","TRUE","midwest","0","earlyafternoon","40","earlyafternoon","86","lateevening"
"0013","61+","female","right","FALSE","NA","0","lateevening","32","earlyevening","59","earlyafternoon"
"0312","18-24","Female","Right","TRUE","Midwest","0","Late Morning","57","Early Morning","127","Late Evening"
"0064","18-24","female","right","TRUE","south","0","latemorning","21","earlyafternoon","42","earlyafternoon"
"0234","18-24","Female","Right","TRUE","Midwest","0","Late Afternoon","23","Late Afternoon","50","Late Morning"
"0029","41-60","female","right","TRUE","midwest","0","earlymorning","47","lateevening","97","earlymorning"
"0397","18-24","Male","Right","TRUE","Midwest","0","Early Evening","22","Late Morning","62","Late Morning"
"0070","25-40","male","right","TRUE","midwest","0","earlyafternoon","21","earlyafternoon","58","latemorning"
"0513","18-24","Female","Right","TRUE","Midwest","0","Early Afternoon","39","Late Morning","65","Early Afternoon"
"0284","25-40","Female","Right","TRUE","Midwest","0","Late Morning","24","Early Afternoon","49","Early Afternoon"
"0186","41-60","Male","Left","TRUE","Midwest","0","Early Evening","42","Late Afternoon","83","Late Evening"
"0315","18-24","Female","Right","TRUE","Northeast","0","Early Afternoon","35","Late Afternoon","93","Late Evening"
"0255","18-24","Female","Right","TRUE","Midwest","0","Early Afternoon","35","Late Evening","97","Late Evening"
"0320","41-60","Female","Right","TRUE","Northeast","0","Late Afternoon","97","Early Morning","200","Late Evening"
"0463","25-40","Female","Right","TRUE","Midwest","0","Late Afternoon","37","Late Morning","68","Late Morning"
"0448","41-60","Female","Right","FALSE","NA","0","Late Afternoon","114","Late Evening","143","Late Afternoon"
"0043","41-60","male","right","TRUE","midwest","0","earlymorning","70","earlyafternoon","93","earlymorning"
"0492","25-40","Female","Right","FALSE","NA","0","Late Afternoon","25","Early Afternoon","46","Early Evening"
"0017","25-40","male","right","FALSE","NA","0","lateevening","30","lateevening","74","lateevening"
"0153","41-60","male","right","TRUE","midwest","0","earlymorning","21","latemorning","53","earlyafternoon"
"0082","41-60","male","right","TRUE","midwest","0","lateafternoon","32","earlyafternoon","82","lateafternoon"
"0450","25-40","Female","Right","TRUE","Midwest","0","Early Afternoon","47","Early Morning","71","Late Afternoon"
"0314","18-24","Female","Right","TRUE","Midwest","0","Early Afternoon","35","Early Afternoon","84","Late Evening"
"0083","25-40","female","right","TRUE","midwest","0","lateafternoon","29","latemorning","61","lateafternoon"
"0322","25-40","Female","Right","TRUE","West","0","Late Morning","70","Late Morning","148","Early Morning"
"0063","18-24","female","left","TRUE","midwest","0","earlyafternoon","21","earlyafternoon","47","earlyafternoon"
"0138","25-40","female","right","TRUE","midwest","0","earlyafternoon","21","earlyafternoon","42","latemorning"
"0357","18-24","Male","Right","TRUE","Midwest","0","Late Afternoon","23","Late Evening","48","Late Afternoon"
"0495","18-24","Female","Right","TRUE","Midwest","0","Late Evening","39","Late Afternoon","52","Late Morning"
"0020","61+","female","right","TRUE","midwest","0","lateafternoon","41","earlyevening","80","earlyevening"
"0428","18-24","Male","Right","TRUE","Midwest","0","Early Afternoon","27","Late Evening","50","Early Evening"
